category_id,category_title,act_title,act_url,pdf_url,saved_path,status
2,Civil Laws,"Marriages Validation Act, 1892",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cJs%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator3166d6575bb1950ca8c08f173920445f.pdf,pakistan_code_pdfs\administrator3166d6575bb1950ca8c08f173920445f.pdf,downloaded
2,Civil Laws,"Mesne Profits and Improvements Act, 1855",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cA%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator5d1cb538dd70f201116a1c386269d097.pdf,pakistan_code_pdfs\administrator5d1cb538dd70f201116a1c386269d097.pdf,downloaded
2,Civil Laws,"Multi-unit Co-operative Societies Act, 1942",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cJeW-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator95b1b3b4987792e0d3cc23e46ce18969.pdf,pakistan_code_pdfs\administrator95b1b3b4987792e0d3cc23e46ce18969.pdf,downloaded
2,Civil Laws,"Mussalman Wakf Validating Act, 1913",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apiZ-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator69648336fbd0273e41075a329baad40f.pdf,pakistan_code_pdfs\administrator69648336fbd0273e41075a329baad40f.pdf,downloaded
2,Civil Laws,"National Highway Authority (NHA) Act, 1991",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apmXZQ%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator1cbd99cb7f8f339e9c392ec37738953f.pdf,pakistan_code_pdfs\administrator1cbd99cb7f8f339e9c392ec37738953f.pdf,downloaded
2,Civil Laws,"National Highways Safety Ordinance, 2000",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apaUY2FobJ0%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator79f454ff038827bacaf1758984d449f7.pdf,pakistan_code_pdfs\administrator79f454ff038827bacaf1758984d449f7.pdf,downloaded
2,Civil Laws,"National Zakat Foundation (Merger in Bait-ul-Mal) Ordinance, 2001",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cp%2BUY2Fw-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator928e703010624ff20e0cf3276451fdce.pdf,pakistan_code_pdfs\administrator928e703010624ff20e0cf3276451fdce.pdf,downloaded
2,Civil Laws,"Natural Gas (Development Surcharge) Ordinance, 1967",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cZaa-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratorfd6d3aeaf486058588ab550ea5475652.pdf,pakistan_code_pdfs\administratorfd6d3aeaf486058588ab550ea5475652.pdf,downloaded
2,Civil Laws,"Naturalization Act, 1926",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-ap6b-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator82667a82a20c35d5ee1e97ad66e230f4.pdf,pakistan_code_pdfs\administrator82667a82a20c35d5ee1e97ad66e230f4.pdf,downloaded
2,Civil Laws,"Negotiable Instruments Act, 1881",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-bpc%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator2bbb145adb573172ec68151f4e70dfb5.pdf,pakistan_code_pdfs\administrator2bbb145adb573172ec68151f4e70dfb5.pdf,downloaded
2,Civil Laws,"Notaries Ordinance, 1961",https://www.pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cJyb-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator1c90220dff082736b76ee7037c41bd8c.pdf,pakistan_code_pdfs\administrator1c90220dff082736b76ee7037c41bd8c.pdf,downloaded
